OBJECTID,Lat,Long,zipcode
45438,42.31944765,-71.08449161,02119
45439,42.31931356,-71.08430011,02119
45440,42.31929229,-71.08468217,02119
45441,42.31915415,-71.08493491,02119
45442,42.31998638,-71.08589358,02119
45443,42.3198687,-71.0860798,02119
45444,42.32143469,-71.08567848,02119
45445,42.32164587,-71.08553326,02119
45446,42.32160076,-71.08537286,02119
45447,42.3217892,-71.08524226,02119
45448,42.32187992,-71.08536983,02119
45449,42.32199032,-71.08510474,02119
45450,42.32170613,-71.08390247,02119
45451,42.32154407,-71.08404023,02119
45452,42.32130932,-71.08408485,02119
45453,42.32113483,-71.08422238,02119
45454,42.32203317,-71.08364036,02119
45455,42.32204608,-71.08395557,02119
45456,42.32191104,-71.08387121,02119
45457,42.32158027,-71.08330808,02119
45458,42.3219393,-71.08313302,02119
45459,42.32181903,-71.0829577,02119
45460,42.32168849,-71.0827784,02119
45461,42.32168761,-71.08273616,02119
45462,42.3214801,-71.08266266,02119
45463,42.32127481,-71.08282294,02119
45464,42.32148828,-71.08290911,02119
45465,42.3210709,-71.0829217,02119
45466,42.32087735,-71.08278333,02119
45467,42.32075822,-71.08287672,02119
45468,42.32058028,-71.08249081,02119
45469,42.32036389,-71.08252501,02119
45470,42.32065711,-71.08207688,02119
45471,42.32091486,-71.08160363,02119
45472,42.3207547,-71.08151627,02119
45473,42.32062448,-71.0814779,02119
45474,42.32054117,-71.08149742,02119
45475,42.32052018,-71.08181818,02119
45476,42.32041313,-71.08182563,02119
45477,42.32032592,-71.08162084,02119
45478,42.32059116,-71.08169403,02119
45479,42.32005105,-71.08153204,02119
45480,42.32012501,-71.08195641,02119
45481,42.3202519,-71.08220457,02119
45482,42.3200914,-71.08247376,02119
45483,42.32010153,-71.08267965,02119
45484,42.32005503,-71.08225713,02119
45485,42.31976878,-71.08238564,02119
45486,42.31971858,-71.08215282,02119
45487,42.32002842,-71.08201094,02119
45488,42.31985151,-71.08163289,02119
45489,42.31962402,-71.08170911,02119
45490,42.31950691,-71.08162854,02119
45491,42.31942064,-71.08172803,02119
45492,42.31920644,-71.08167922,02119
45493,42.31951881,-71.08130747,02119
45494,42.3196436,-71.08115703,02119
45495,42.31918239,-71.08136381,02119
45496,42.31903125,-71.08156632,02119
45497,42.31889745,-71.08175624,02119
45498,42.31858935,-71.08190512,02119
45499,42.31841791,-71.08182298,02119
45500,42.318244,-71.08165155,02119
45501,42.31810165,-71.08157496,02119
45502,42.31825858,-71.08138989,02119
45503,42.31837904,-71.08127834,02119
45504,42.3182823,-71.08107321,02119
45505,42.31815833,-71.08118961,02119
45506,42.31836797,-71.08077446,02119
45507,42.31847301,-71.08067874,02119
45508,42.3188812,-71.08106869,02119
45509,42.3186495,-71.08061158,02119
45510,42.31840495,-71.08012968,02119
45511,42.31988215,-71.08131906,02119
45512,42.31979385,-71.08126944,02119
45513,42.31958141,-71.08082588,02119
45514,42.31939895,-71.08064549,02119
45515,42.31936877,-71.08037573,02119
45516,42.31918563,-71.0801956,02119
45517,42.32023988,-71.08141223,02119
45518,42.32124071,-71.08169442,02119
45519,42.32151617,-71.08177339,02119
45520,42.32089518,-71.08192485,02119
45521,42.32118815,-71.08200469,02119
45522,42.32146416,-71.0820807,02119
45523,42.32181868,-71.08219227,02119
45524,42.32186837,-71.0820257,02119
45525,42.32186298,-71.08188228,02119
45526,42.32154848,-71.08160475,02119
45527,42.32151192,-71.08132737,02119
45528,42.32132221,-71.08112106,02119
45529,42.32124648,-71.08076836,02119
45530,42.32109945,-71.08065646,02119
45531,42.32105725,-71.08036943,02119
45532,42.32103853,-71.08021561,02119
45533,42.32086736,-71.0801679,02119
45534,42.32020475,-71.08055588,02119
45535,42.31998258,-71.08008714,02119
45536,42.32044255,-71.08105798,02119
45537,42.32062963,-71.08125155,02119
45538,42.32038903,-71.08074692,02119
45539,42.32015434,-71.08025071,02119
45540,42.32113354,-71.08009235,02119
45541,42.32170258,-71.08172628,02119
45542,42.31945888,-71.08407401,02119
45543,42.31912397,-71.08401795,02119
45544,42.31896126,-71.08428071,02119
45545,42.31928243,-71.08384424,02119
45546,42.31915439,-71.08368126,02119
45547,42.32062872,-71.08211238,02119
45548,42.31777838,-71.08081659,02119
45549,42.31788349,-71.08117334,02119
45550,42.31804032,-71.08127842,02119
45551,42.32015099,-71.0846243,02119
45552,42.32017213,-71.08437743,02119
45553,42.32002909,-71.08415182,02119
45554,42.32003048,-71.08383901,02119
45555,42.31988628,-71.08360286,02119
45556,42.31987846,-71.0833349,02119
45557,42.3196567,-71.08336873,02119
45558,42.31933916,-71.08352055,02119
45559,42.31952315,-71.08318056,02119
45560,42.31727335,-71.0801816,02119
45561,42.31751308,-71.0804819,02119
45562,42.31760171,-71.08074421,02119
45563,42.32192334,-71.08262523,02119
45564,42.32196821,-71.08280163,02119
45565,42.3217398,-71.08246926,02119
45566,42.3215273,-71.08239561,02119
45567,42.32189576,-71.0834257,02119
45568,42.32177816,-71.08330969,02119
45569,42.32140218,-71.0834435,02119
45570,42.32119992,-71.08344328,02119
45571,42.32103949,-71.08357196,02119
45572,42.32083859,-71.08357124,02119
45573,42.32060339,-71.08321356,02119
45574,42.32071506,-71.08343058,02119
45575,42.32067846,-71.08296725,02119
45576,42.32074351,-71.08238515,02119
45577,42.32068151,-71.08377376,02119
45578,42.32079815,-71.08401147,02119
45579,42.32093091,-71.08425397,02119
45580,42.3220361,-71.08459328,02119
45581,42.32183759,-71.08576466,02119
45582,42.32178267,-71.08669095,02119
45583,42.31708004,-71.08008437,02119
45584,42.31755328,-71.08609758,02119
45585,42.31735757,-71.08610713,02121
45586,42.31961576,-71.08418503,02119
45587,42.32180282,-71.08710703,02119
45588,42.32021249,-71.08791884,02119
45589,42.31838746,-71.08524835,02119
45590,42.31779017,-71.08505766,02119
45591,42.31844376,-71.08551689,02119
45592,42.31807845,-71.0923526,02119
45593,42.32111229,-71.09027947,02119
45594,42.32132554,-71.08994714,02119
45595,42.31850224,-71.08439835,02119
45596,42.32164154,-71.09001818,02119
45597,42.32161284,-71.0865993,02119
45598,42.32556244,-71.10926517,02130
45599,42.32526627,-71.10860021,02130
45600,42.32551149,-71.10900453,02130
45601,42.32499678,-71.10814302,02130
45602,42.32489123,-71.10788166,02130
45603,42.32480389,-71.10799312,02130
45604,42.32532454,-71.10886492,02130
45605,42.32505337,-71.1077425,02130
45606,42.32531791,-71.10778029,02130
45607,42.32549207,-71.10813563,02130
45608,42.32561663,-71.10855234,02130
45609,42.32539247,-71.10782293,02130
45610,42.32546588,-71.1073775,02130
45611,42.32552701,-71.10710527,02130
45612,42.32528828,-71.10637882,02130
45613,42.32534679,-71.10606911,02130
45614,42.3254362,-71.10659323,02130
45615,42.32546869,-71.10806262,02130
45616,42.32574691,-71.10850963,02130
45617,42.32587879,-71.10885536,02130
45618,42.32612309,-71.10883536,02130
45619,42.32565529,-71.10784637,02130
45620,42.32596377,-71.10781141,02130
45621,42.32647004,-71.10822438,02130
45622,42.32652995,-71.10848545,02130
45623,42.32642441,-71.10859862,02130
45624,42.32635331,-71.10865271,02130
45625,42.32653699,-71.10881024,02130
45626,42.32664768,-71.10870112,02130
45627,42.3238343,-71.10605871,02130
45628,42.32374477,-71.10617674,02130
45629,42.32368806,-71.10592816,02130
45630,42.32349706,-71.10600966,02130
45631,42.32315656,-71.10595913,02130
45632,42.32364551,-71.1064309,02130
45633,42.32371068,-71.10666892,02130
45634,42.32374703,-71.10721281,02130
45635,42.32343836,-71.10677222,02130
45636,42.32466769,-71.10790415,02130
45637,42.32456233,-71.10819488,02130
45638,42.32601391,-71.1099192,02130
45639,42.32615519,-71.11048965,02130
45640,42.32610065,-71.11031905,02130
45641,42.32691696,-71.11131438,02130
45642,42.32667012,-71.11143394,02130
45643,42.32661814,-71.11123517,02130
45644,42.32694634,-71.1110777,02130
45645,42.32711614,-71.1110012,02130
45646,42.32715669,-71.11120649,02130
45647,42.32739881,-71.11088919,02130
45648,42.32744111,-71.1110926,02130
45649,42.3264539,-71.11155106,02130
45650,42.32623176,-71.11168605,02130
45651,42.32604547,-71.1118005,02130
45652,42.32581927,-71.11193952,02130
45653,42.32560825,-71.11205436,02130
45654,42.32539994,-71.11214504,02130
45655,42.32515604,-71.112231,02130
45656,42.32492245,-71.11229058,02130
45657,42.32466548,-71.11233848,02130
45658,42.32464036,-71.11214155,02130
45659,42.32487722,-71.11208635,02130
45660,42.32513662,-71.11202051,02130
45661,42.32544813,-71.11190638,02130
45662,42.32577213,-71.11173493,02130
45663,42.32596521,-71.11161791,02130
45664,42.32611617,-71.11147934,02130
45665,42.32616274,-71.1114962,02130
45666,42.32640063,-71.11135752,02130
45667,42.32753103,-71.10710834,02120
45668,42.32748986,-71.10690154,02120
45669,42.32742538,-71.10676946,02120
45670,42.32737474,-71.1066055,02120
45671,42.32727645,-71.10629626,02120
45672,42.32721926,-71.10610888,02120
45673,42.32713295,-71.10583551,02120
45674,42.32749162,-71.10808298,02130
45675,42.32723638,-71.10796585,02130
45676,42.32713187,-71.1076892,02130
45677,42.32704478,-71.10745427,02130
45678,42.32694407,-71.10718347,02130
45679,42.326857,-71.10699467,02130
45680,42.32671013,-71.10674736,02130
45681,42.32656952,-71.10652971,02130
45682,42.32639843,-71.10622203,02130
45683,42.32624161,-71.1061318,02130
45684,42.32647695,-71.10661733,02130
45685,42.32662951,-71.10684522,02130
45686,42.32676714,-71.10707862,02130
45687,42.32676718,-71.10712988,02130
45688,42.32686128,-71.10728645,02130
45689,42.32695355,-71.10752907,02130
45690,42.32714543,-71.10804541,02130
45691,42.32691134,-71.1077832,02130
45692,42.32681801,-71.10787961,02130
45693,42.32668987,-71.10801083,02130
45694,42.32655131,-71.10815496,02130
45695,42.32682826,-71.10872575,02130
45696,42.32695803,-71.10859891,02130
45697,42.32708644,-71.10846512,02130
45698,42.32719965,-71.10835185,02130
45699,42.32728744,-71.10841362,02130
45700,42.3276097,-71.10890564,02130
45701,42.32750786,-71.10895226,02130
45702,42.32701804,-71.10935559,02130
45703,42.32710207,-71.10907358,02130
45704,42.32589055,-71.11004965,02130
45705,42.32548196,-71.11087168,02130
45706,42.32534755,-71.11055334,02130
45707,42.32561369,-71.11122957,02130
45708,42.32605868,-71.11123343,02130
45709,42.32630095,-71.11114527,02130
45710,42.32510435,-71.11046906,02130
45711,42.32495774,-71.11020382,02130
45712,42.32479001,-71.11000457,02130
45713,42.32451536,-71.10925177,02130
45714,42.32472948,-71.10971169,02130
45715,42.32460634,-71.10960604,02130
45716,42.32437968,-71.10911833,02130
45717,42.32430233,-71.10879039,02130
45718,42.32410555,-71.10874092,02130
45719,42.32432666,-71.10860292,02130
45720,42.32437755,-71.10833707,02130
45721,42.32245656,-71.1083101,02130
45722,42.32230591,-71.10817415,02130
45723,42.32235591,-71.10812824,02130
45724,42.32250433,-71.10784695,02130
45725,42.32253179,-71.10749254,02130
45726,42.32255953,-71.1071407,02130
45727,42.32260295,-71.10668926,02130
45728,42.32283646,-71.10665889,02130
45729,42.32316523,-71.10672217,02130
45730,42.32248277,-71.1066879,02130
45731,42.32244066,-71.1070782,02130
45732,42.32251923,-71.10630876,02130
45733,42.32267771,-71.1059491,02130
45734,42.32263945,-71.10632537,02130
45735,42.3224039,-71.10747883,02130
45736,42.3223778,-71.1078358,02130
45737,42.32228736,-71.10906303,02130
45738,42.32298029,-71.10781315,02130
45739,42.32258983,-71.10770784,02130
45740,42.32347919,-71.10798166,02130
45741,42.32340383,-71.10782836,02130
45742,42.3232761,-71.10775896,02130
45743,42.32314573,-71.10780599,02130
45744,42.32364688,-71.10698546,02130
45745,42.32368766,-71.10748264,02130
45746,42.32378047,-71.10766183,02130
45747,42.32370363,-71.10772526,02130
45748,42.32312191,-71.10960476,02130
45749,42.32328379,-71.10954306,02130
45750,42.32358229,-71.10945227,02130
45751,42.32371223,-71.10916838,02130
45752,42.32397918,-71.10903223,02130
45753,42.32340875,-71.11034318,02130
45754,42.32317834,-71.1100489,02130
45755,42.32327747,-71.11001181,02130
45756,42.32324131,-71.10996096,02130
45757,42.32319754,-71.10991526,02130
45758,42.32315649,-71.1098798,02130
45759,42.32311083,-71.1098469,02130
45760,42.32306246,-71.10982646,02130
45761,42.32298748,-71.10983314,02130
45762,42.32304162,-71.10994034,02130
45763,42.32293452,-71.10984895,02130
