,OBJECTID,Lat,Long,zipcode
176,23371,42.37300348,-71.03132606,2128
177,23372,42.37297303,-71.0312794,2128
178,23373,42.37059705,-71.02783218,2128
179,23374,42.37050513,-71.02780134,2128
180,23375,42.3701818,-71.0274049,2128
181,23376,42.36998958,-71.02717308,2128
182,23377,42.36993588,-71.02688873,2128
183,23378,42.36965104,-71.0265011,2128
184,23379,42.36934772,-71.02651601,2128
185,23380,42.36959797,-71.02686064,2128
186,23381,42.37009741,-71.02751442,2128
187,23382,42.37035553,-71.02800077,2128
188,23383,42.37319374,-71.03180841,2128
189,23384,42.37288053,-71.03145955,2128
190,23385,42.37285111,-71.0314101,2128
191,23386,42.37275573,-71.03134079,2128
192,23387,42.37200491,-71.03023979,2128
193,23388,42.37201022,-71.0301128,2128
194,23389,42.3700844,-71.02769861,2128
195,23390,42.37002646,-71.0276991,2128
196,23391,42.37001816,-71.0277716,2128
197,23392,42.36915312,-71.0265238,2128
198,23393,42.36900587,-71.0265474,2128
199,23394,42.36980166,-71.02738248,2128
200,23395,42.36987882,-71.02767741,2128
201,23396,42.37033017,-71.02810354,2128
202,23397,42.37037839,-71.02822359,2128
203,23398,42.37075451,-71.02861203,2128
204,23399,42.37072587,-71.02871085,2128
205,23400,42.37163004,-71.03011888,2128
206,23401,42.37272685,-71.03154437,2128
207,23402,42.37275505,-71.03159582,2128
208,23403,42.37296029,-71.03206662,2128
209,23404,42.37265038,-71.03170967,2128
210,23405,42.37259719,-71.0316341,2128
211,23406,42.37259436,-71.03178735,2128
212,23407,42.37255893,-71.03186278,2128
213,23408,42.37084676,-71.02922544,2128
214,23409,42.37079864,-71.02932114,2128
215,23410,42.37038972,-71.02871337,2128
216,23411,42.37041761,-71.02848516,2128
217,23412,42.37031807,-71.02851703,2128
218,23413,42.37037838,-71.0283982,2128
219,23414,42.37023175,-71.02833646,2128
220,23415,42.37010291,-71.02839882,2128
221,23416,42.37012822,-71.02816686,2128
222,23417,42.37005071,-71.0279803,2128
223,23418,42.36994122,-71.02801112,2128
224,23419,42.36982899,-71.02783742,2128
225,23420,42.37273395,-71.0323782,2128
226,23421,42.37248105,-71.03203415,2128
227,23422,42.37245212,-71.03166725,2128
228,23423,42.37233293,-71.03169145,2128
229,23424,42.37225493,-71.03167064,2128
230,23425,42.37215276,-71.03153636,2128
231,23426,42.37216581,-71.03148405,2128
232,23427,42.37207007,-71.03130432,2128
233,23428,42.37195417,-71.03114621,2128
234,23429,42.37187855,-71.03107944,2128
235,23430,42.37170071,-71.03082782,2128
236,23431,42.37130796,-71.03035757,2128
237,23432,42.37147046,-71.03033355,2128
238,23433,42.37129403,-71.03017852,2128
239,23434,42.37111637,-71.02990629,2128
240,23435,42.37107694,-71.02996438,2128
241,23436,42.37096757,-71.02984364,2128
242,23437,42.37049212,-71.02912333,2128
243,23438,42.37056093,-71.02931855,2128
244,23439,42.37047942,-71.02929864,2128
245,23440,42.37064432,-71.02949977,2128
246,23441,42.37075079,-71.02966962,2128
247,23442,42.37044332,-71.02891556,2128
248,23443,42.37031852,-71.02892331,2128
249,23444,42.37020064,-71.02863398,2128
250,23445,42.36961956,-71.02786831,2128
251,23446,42.36963499,-71.02771804,2128
252,23447,42.36948831,-71.02750671,2128
253,23448,42.36911876,-71.026975,2128
254,23449,42.36930481,-71.02704024,2128
255,23450,42.36896471,-71.02691778,2128
256,23451,42.36890052,-71.02700432,2128
257,23452,42.36876612,-71.02646787,2128
